iso_code,year,model_fuel,generation_twh,capacity_gw,emissions_mtco2,irena_capacity_gw,irena_generation_twh,r10
ABW,2014,solar,0.01,0.0,0.0,0.004911,0.005707,R10LATIN_AM
ABW,2014,windon,0.15,0.03,0.0,0.03,0.15561000000000003,R10LATIN_AM
ABW,2015,bioenergy,0.0,0.0,0.0,0.002,0.0,R10LATIN_AM
ABW,2015,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2015,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2015,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2015,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2015,oil,0.79,0.25,0.52,0.2512,0.7555470000000001,R10LATIN_AM
ABW,2015,solar,0.01,0.01,0.0,0.006111,0.009658,R10LATIN_AM
ABW,2015,windon,0.17,0.03,0.0,0.03,0.166419,R10LATIN_AM
ABW,2016,bioenergy,0.0,0.0,0.0,0.002,0.0048,R10LATIN_AM
ABW,2016,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2016,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2016,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2016,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2016,oil,0.8,0.25,0.53,0.2512,0.8021090000000001,R10LATIN_AM
ABW,2016,solar,0.01,0.01,0.0,0.007261999999999999,0.011723,R10LATIN_AM
ABW,2016,windon,0.13,0.03,0.0,0.03,0.133168,R10LATIN_AM
ABW,2017,bioenergy,0.0,0.0,0.0,0.002,0.0,R10LATIN_AM
ABW,2017,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2017,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2017,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2017,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2017,oil,0.83,0.25,0.55,0.2512,0.834234,R10LATIN_AM
ABW,2017,solar,0.01,0.01,0.0,0.007315,0.01278,R10LATIN_AM
ABW,2017,windon,0.13,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2018,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2018,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2018,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2018,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2018,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2018,oil,0.81,0.25,0.53,0.24888,0.87614,R10LATIN_AM
ABW,2018,solar,0.01,0.01,0.0,0.014815,0.019411,R10LATIN_AM
ABW,2018,windon,0.14,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2019,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2019,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2019,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2019,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2019,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2019,oil,0.82,0.26,0.54,0.25788,0.8878440000000001,R10LATIN_AM
ABW,2019,solar,0.01,0.01,0.0,0.014815,0.025996,R10LATIN_AM
ABW,2019,windon,0.14,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2020,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2020,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2020,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2020,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2020,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2020,oil,0.82,0.26,0.54,0.25788,0.903612,R10LATIN_AM
ABW,2020,solar,0.01,0.01,0.0,0.014815,0.025996,R10LATIN_AM
ABW,2020,windon,0.14,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2021,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2021,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2021,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2021,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2021,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2021,oil,0.83,0.26,0.55,0.25788,0.903612,R10LATIN_AM
ABW,2021,solar,0.01,0.01,0.0,0.014815,0.025996,R10LATIN_AM
ABW,2021,windon,0.14,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2022,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2022,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2022,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2022,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2022,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2022,oil,0.83,0.22,0.55,0.216,0.830238,R10LATIN_AM
ABW,2022,solar,0.01,0.01,0.0,0.014804,0.025996,R10LATIN_AM
ABW,2022,windon,0.14,0.03,0.0,0.03,0.130986,R10LATIN_AM
ABW,2023,oil,0.0,0.0,0.0,0.216,0.0,R10LATIN_AM
ABW,2023,solar,0.0,0.0,0.0,0.014804,0.0,R10LATIN_AM
ABW,2023,windon,0.0,0.0,0.0,0.03,0.0,R10LATIN_AM
ABW,2024,bioenergy,0.0,0.0,0.0,0.001,0.0,R10LATIN_AM
ABW,2024,oil,0.0,0.0,0.0,0.236,0.0,R10LATIN_AM
ABW,2024,solar,0.0,0.0,0.0,0.014804,0.0,R10LATIN_AM
ABW,2024,windon,0.0,0.0,0.0,0.03,0.0,R10LATIN_AM
AFG,2000,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2000,coal,0.0,0.0,0.0,0.0,0.0,R10INDIA+
